"Date","year","month","Local.Site.Name","County","meanlatitude","meanlongitude","PM2.5","Ozone"
2024-01-06,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,23,21
2024-01-06,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,51,NA
2024-01-06,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,25,NA
2024-01-06,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,48,NA
2024-01-06,2024,1,"Millbrook School","Wake",35.856111,-78.574167,34,24
2024-01-06,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2024-01-06,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,20,NA
2024-01-07,2024,1,"Bryson City","Swain",35.434767,-83.442133,8,NA
2024-01-07,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,22,NA
2024-01-07,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,23.5,NA
2024-01-07,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,42,NA
2024-01-07,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
2024-01-07,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,15,31
2024-01-07,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,23,NA
2024-01-07,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,11,NA
2024-01-07,2024,1,"Linville Falls","Avery",35.972347,-81.933072,5,NA
2024-01-07,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
2024-01-07,2024,1,"Millbrook School","Wake",35.856111,-78.574167,18.5,30
2024-01-07,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,8,NA
2024-01-07,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,13,NA
2024-01-08,2024,1,"Bryson City","Swain",35.434767,-83.442133,17,NA
2024-01-08,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,23,NA
2024-01-08,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,27,NA
2024-01-08,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,49,NA
2024-01-08,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,24,29
2024-01-08,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,26,NA
2024-01-08,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,19,NA
2024-01-08,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27,NA
2024-01-08,2024,1,"Millbrook School","Wake",35.856111,-78.574167,23,30
2024-01-08,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,11,NA
2024-01-08,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,23,NA
2024-01-09,2024,1,"Bryson City","Swain",35.434767,-83.442133,8,NA
2024-01-09,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,38.5,NA
2024-01-09,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,25,NA
2024-01-09,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,36,NA
2024-01-09,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,13,34
2024-01-09,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,22,NA
2024-01-09,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,38,NA
2024-01-09,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,27,NA
2024-01-09,2024,1,"Millbrook School","Wake",35.856111,-78.574167,25,NA
2024-01-09,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,27,NA
2024-01-09,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,24,NA
2024-01-10,2024,1,"Bryson City","Swain",35.434767,-83.442133,20,NA
2024-01-10,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,28.5,NA
2024-01-10,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,21,NA
2024-01-10,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
2024-01-10,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,11,23
2024-01-10,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,19,NA
2024-01-10,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,3,NA
2024-01-10,2024,1,"Linville Falls","Avery",35.972347,-81.933072,6,NA
2024-01-10,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,24,NA
2024-01-10,2024,1,"Millbrook School","Wake",35.856111,-78.574167,22,21
2024-01-10,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,NA
2024-01-10,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,16,NA
2024-01-11,2024,1,"Bryson City","Swain",35.434767,-83.442133,32,NA
2024-01-11,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,29.5,NA
2024-01-11,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,37,NA
2024-01-11,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,58,NA
2024-01-11,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,45,28
2024-01-11,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,49,NA
2024-01-11,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,33,NA
2024-01-11,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,46,NA
2024-01-11,2024,1,"Millbrook School","Wake",35.856111,-78.574167,54,23
2024-01-11,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,30,NA
2024-01-11,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,37,NA
2024-01-12,2024,1,"Bryson City","Swain",35.434767,-83.442133,33,NA
2024-01-12,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,42,NA
2024-01-12,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,53,NA
2024-01-12,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,58,NA
2024-01-12,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,52,29
2024-01-12,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,49,NA
2024-01-12,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,45,NA
2024-01-12,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,55,NA
2024-01-12,2024,1,"Millbrook School","Wake",35.856111,-78.574167,57,34
2024-01-12,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,40,NA
2024-01-12,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,44,NA
2024-01-13,2024,1,"Bryson City","Swain",35.434767,-83.442133,13,NA
2024-01-13,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,29,NA
2024-01-13,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,23,NA
2024-01-13,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,44,NA
2024-01-13,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,6,NA
2024-01-13,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,28,31
2024-01-13,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,24,NA
2024-01-13,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,0,NA
2024-01-13,2024,1,"Linville Falls","Avery",35.972347,-81.933072,11,NA
2024-01-13,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,22,NA
2024-01-13,2024,1,"Millbrook School","Wake",35.856111,-78.574167,21,32
2024-01-13,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,11,NA
2024-01-13,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,19,NA
2024-01-14,2024,1,"Bryson City","Swain",35.434767,-83.442133,36,NA
2024-01-14,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,25,NA
2024-01-14,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,26,NA
2024-01-14,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,53,NA
2024-01-14,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,23,38
2024-01-14,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,25,NA
2024-01-14,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,27,NA
2024-01-14,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,32,NA
2024-01-14,2024,1,"Millbrook School","Wake",35.856111,-78.574167,28,33
2024-01-14,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,18,NA
2024-01-14,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,27,NA
2024-01-15,2024,1,"Bryson City","Swain",35.434767,-83.442133,43,NA
2024-01-15,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,22,NA
2024-01-15,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,34,NA
2024-01-15,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,52,NA
2024-01-15,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,44,25
2024-01-15,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,33,NA
2024-01-15,2024,1,"Leggett","Edgecombe",35.988278,-77.5843,22,NA
2024-01-15,2024,1,"Mendenhall School","Guilford",36.1090060008986,-79.802314,39,NA
2024-01-15,2024,1,"Millbrook School","Wake",35.856111,-78.574167,28,23
2024-01-15,2024,1,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,24,NA
2024-01-15,2024,1,"West Johnston Co.","Johnston",35.59095,-78.4622,30,NA
2024-01-16,2024,1,"Bryson City","Swain",35.434767,-83.442133,14,NA
2024-01-16,2024,1,"Castle Hayne","New Hanover",34.364167,-77.838611,34.5,NA
2024-01-16,2024,1,"Clemmons Middle","Forsyth",36.026612,-80.341962,33,NA
2024-01-16,2024,1,"Durham Armory","Durham",36.0329550008979,-78.904037,54,NA
2024-01-16,2024,1,"Frying Pan Mountain","Haywood",35.379167,-82.7925,10,NA
2024-01-16,2024,1,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,47,31
2024-01-16,2024,1,"Hattie Avenue","Forsyth",36.11094,-80.224501,29.5,NA
