"CAS Number","Chemical Name","Species Common Name","Effect","Effect Measurement","Endpoint","Year","Records","Citation"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Cytochrome P-450","LOEL","2023","7","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Enzyme(s)","Cytochrome P-450","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Feeding behavior","Feeding behavior","NOEL","2023","2","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Abaecin mRNA","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Cytochrome P450 6a14-like mRNA","LOEL","2023","4","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Flightin mRNA","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Flightin mRNA","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Gene expression","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Major royal jelly protein 5 mRNA","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Major royal jelly protein 5 mRNA","NOEL","2023","1","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
"111988499","Thiacloprid","Asiatic Honey Bee","Genetics","Maltase 1 mRNA","LOEL","2023","3","Shi,M., Y. Guo, Y.Y. Wu, P.L. Dai, S.J. Dai, Q.Y. Diao, and J. Gao (2023). Acute and Chronic Effects of Sublethal Neonicotinoid Thiacloprid to Asian Honey Bee (Apis cerana cerana). Pestic. Biochem. Physiol., 194, 10 p. doi:10.1016/j.pestbp.2023.105483. ECOREF#:191061"
